Time (UTC), Frequency (MHz),Level (dB/Hz)
1453678338.0, 560.0, -47.221391458
1453678338.0, 560.00390625, -47.3026530528
1453678338.0, 560.0078125, -47.298208344
1453678340.0, 560.0, -47.0866690111
1453678340.0, 560.00390625, -46.9861692202
1453678340.0, 560.0078125, -46.9059697584
1453678343.0, 560.0, -47.6815407941
1453678343.0, 560.00390625, -46.6678775787
1453678343.0, 560.0078125, -47.4899650096
1453678346.0, 560.0, -47.3883287505
1453678346.0, 560.00390625, -47.6299727543
1453678346.0, 560.0078125, -47.3884322047
1453678349.0, 560.0, -47.8509413765
1453678349.0, 560.00390625, -46.5382871517
1453678349.0, 560.0078125, -47.5085449133
1453678352.0, 560.0, -46.6110281975
1453678352.0, 560.00390625, -46.6570782427
1453678352.0, 560.0078125, -47.8847624866
